"","Edad","Long"
"1",1,31.3760887893167
"2",1.99,61.4260492142636
"3",2.98,90.5015041137044
"4",3.97,118.634056225407
"5",4.96,145.854283425803
"6",5.95,172.191771965742
"7",6.94,197.675148628422
"8",7.93,222.332111844456
"9",8.92,246.189461797896
"10",9.91,269.273129555925
"11",10.9,291.608205253898
"12",11.89,313.218965366343
"13",12.88,334.12889909359
"14",13.87,354.360733892685
"15",14.86,373.936460180353
"16",15.85,392.877355234856
"17",16.84,411.204006322724
"18",17.83,428.936333075499
"19",18.82,446.093609140808
"20",19.81,462.694483131312
"21",20.8,478.756998894277
"22",21.79,494.298615123825
"23",22.78,509.336224337165
"24",23.77,523.886171235427
"25",24.76,537.964270469077
"26",25.75,551.585823827199
"27",26.74,564.765636869336
"28",27.73,577.518035017973
"29",28.72,589.856879129148
"30",29.71,601.795580558114
"31",30.7,613.347115736431
"32",31.69,624.524040276326
"33",32.68,635.33850261766
"34",33.67,645.802257232329
"35",34.66,655.926677400452
"36",35.65,665.722767572233
"37",36.64,675.201175328938
"38",37.63,684.372202955976
"39",38.62,693.245818640677
"40",39.61,701.831667306931
"41",40.6,710.139081098459
"42",41.59,718.177089522125
"43",42.58,725.954429262301
"44",43.57,733.479553676953
"45",44.56,740.760641985784
"46",45.55,747.805608160398
"47",46.54,754.622109526171
"48",47.53,761.21755508516
"49",48.52,767.599113569108
"50",49.51,773.773721231291
"51",50.5,779.748089385682
"52",51.49,785.528711701626
"53",52.48,791.121871261942
"54",53.47,796.533647392148
"55",54.46,801.769922268205
"56",55.45,806.836387309986
"57",56.44,811.738549367397
"58",57.43,816.481736705896
"59",58.42,821.071104797897
"60",59.41,825.511641926362
"61",60.4,829.808174606678
"62",61.39,833.965372832696
"63",62.38,837.98775515265
"64",63.37,841.879693580464
"65",64.36,845.645418347787
"66",65.35,849.289022501925
"67",66.34,852.814466354659
"68",67.33,856.225581786798
"69",68.32,859.526076413126
"70",69.31,862.719537612297
"71",70.3,865.809436426024
"72",71.29,868.799131331838
"73",72.28,871.691871893482
"74",73.27,874.49080229294
"75",74.26,877.198964747908
"76",75.25,879.81930281845
"77",76.24,882.354664606417
"78",77.23,884.80780585111
"79",78.22,887.181392924549
"80",79.21,889.478005729615
"81",80.2,891.700140504201
"82",81.19,893.850212534422
"83",82.18,895.930558779848
"84",83.17,897.943440413592
"85",84.16,899.891045280028
"86",85.15,901.775490272807
"87",86.14,903.598823635754
"88",87.13,905.363027189146
"89",88.12,907.0700184838
"90",89.11,908.721652885297
"91",90.1,910.319725590618
"92",91.09,911.865973579385
"93",92.08,913.362077501818
"94",93.07,914.809663505475
"95",94.06,916.210305002741
"96",95.05,917.565524381008
"97",96.04,918.876794657388
"98",97.03,920.145541079771
"99",98.02,921.373142675951
"100",99.01,922.560933752527
"101",100,923.710205345186
